Salmonella	Serogroup	Group	O Antigen	Shared H1 Probe	H Phase 1	H Phase 2	Other
IV	C1	O:7 (C1)	"6,7"		"z4,z24"	-	
IV	C1	O:7 (C1)	"6,7"		z36	-	
Lille	C1	O:7 (C1)	"6,7,14"		z38	-	[z82]
Plumaugat	C1	O:7 (C1)	"6,7"		"g,s,q"	-	
Riggil	C1	O:7 (C1)	"6,7"		"g,(t)"	-	
Somone	C1	O:7 (C1)	"6,7"		"z4,z24"	-	
Alminko	C2-C3	O:8 (C2-C3)	"8,20"	"g,s,t/g,t"	"g,s,t"	-	
Bassa	C2-C3	O:8 (C2-C3)	"6,8"	mt/mptu	"m,t"	-	
Duesseldorf	C2-C3	O:8 (C2-C3)	"6,8"		"z4,z24"	-	
Nanergou	C2-C3	O:8 (C2-C3)	"6,8"	"g,s,t/g,t"	"g,s,t"	-	
Reubeuss	C2-C3	O:8 (C2-C3)	"8,20"		"g,m,t"	-	
Tallahassee	C2-C3	O:8 (C2-C3)	"6,8"		"z4,z32"	-	
Yokoe	C2-C3	O:8 (C2-C3)	"8,20"	mt/mptu	"m,t"	-	
Antarctica	A/D	O:9 (D1)	"9,12"		"g,z63"	-	
Elomrane	A/D	O:9 (D1)	"1,9,12"		z38	-	
Gueuletapee	A/D	O:9 (D1)	"9,12"		"g,m,s"	-	
Moscow	A/D	O:9 (D1)	"1,9,12"	g-complex	"g,q"	-	
Natal	A/D	O:9 (D1)	"9,12"		"z4,z24"	-	
Rosenberg	A/D	O:9 (D1)	"9,12"	g-complex	"g,z85"	-	
Rostock	A/D	O:9 (D1)	"1,9,12"		"g,p,u"	-	
Ackwepe	A/D	"O:9,46 (D2)"	"9,46"		"l,w"	-	
Ekotedo	A/D	"O:9,46 (D2)"	"9,46"		"z4,z23"	-	
Fresno	A/D	"O:9,46 (D2)"	"9,46"		z38	-	
Gateshead	A/D	"O:9,46 (D2)"	"9,46"	"g,s,t/g,t"	"g,s,t"	-	
Hillingdon	A/D	"O:9,46 (D2)"	"9,46"	g-complex	"g,m"	-	
II	A/D	"O:9,46 (D2)"	"9,46"	g-complex	"g,z62"	-	
Ngaparou	A/D	"O:9,46 (D2)"	"9,46"		"z4,z24"	-	
Sangalkam	A/D	"O:9,46 (D2)"	"9,46"	mt/mptu	"m,t"	-	
Wernigerode	A/D	"O:9,46 (D2)"	"9,46"		"f,g"	-	
Wuppertal	A/D	"O:9,46 (D2)"	"9,46"	g-complex	z41	-	
Aarhus	K	O:18 (K)	18		"z4,z23"	-	
V	G	O:13 (G)	"1,13,22"		i	-	
Vaertan	G	O:13 (G)	"13,22"		b	-	
Vridi	G	O:13 (G)	"1,13,23"		"e,h"	-	
Wichita	G	O:13 (G)	"1,13,23"		d	-	[z37]
Willemstad	G	O:13 (G)	"1,13,22"		"e,h"	-	
Aragua	N	O:30 (N)	30		z29	-	
V	Y	O:48 (Y)1	48		i	-	
Montevideo	C1	O:7 (C1)	"6,7,14"		"g,m,[p],s"	"[1,2,7]"	
Tennessee	C1	O:7 (C1)	"6,7,14"		z29	"[1,2,7]"	
Agona	B	O:4 (B)	"1,4,[5],12"		"f,g,s"	"[1,2]"	"[z27],[z45]"
Derby	B	O:4 (B)	"1,4,[5],12"		"f,g"	"[1,2]"	
Stanleyville	B	O:4 (B)	"1,4,[5],12,[27]"		"z4,z23"	"[1,2]"	
Kingston	B	O:4 (B)	"1,4,[5],12,[27]"	"g,s,t/g,t"	"g,s,t"	"[1,2]"	[z43]
Pensacola	A/D	O:9 (D1)	"1,9,12"	mt/mptu	"m,t"	"[1,2]"	
Hato	B	O:4 (B)	"1,4,[5],12"		"g,m,s"	"[1,2]"	
Overchurch	R	O:40 (R) 	"1,40"		"l,w"	"[1,2]"	
Farmingdale	U	O:43 (U)	43		"z4,z23"	"[1,2]"	
II	U	O:43 (U)	43		z42	"[1,5,7]"	
II	A/D	O:9 (D1)	"1,9,12"		"g,m,[s],t"	"[1,5,7]"	[z42]
Paratyphi A	A	O:2 (A)	"1,2,12"		a	"[1,5]"	
Cerro	K	O:18 (K)	"6,14,18"		"z4,z23"	"[1,5]"	"[z45],[z82]"
II	G	O:13 (G)	"1,13,23"		b	"[1,5]"	z42
II	G	O:13 (G)	"1,13,22"		"g,m,t"	"[1,5]"	
II	G	O:13 (G)	"1,13,22"	"g,s,t/g,t"	"g,t"	"[1,5]"	
Enugu	I	O:16 (l)	16		"l,[z13],z28"	"[1,5]"	
II	I	O:16 (l)	16		"g,[m],[s],t"	"[1,5]"	[z42]
